title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
Tư Duy Hệ Thống Trong Công Việc,Steven Schuster,89000,56070,6583.0,Sách tư duy - Kỹ năng sống,713,4.7,168.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/7d/a9/32/ed6246e682b5951a181e544ff004ad85.jpg
Nghĩ Thiện Để Cuộc Đời Và Công Việc Viên Mãn,Inamori Kazuo,85000,53000,4752.0,Sách tư duy - Kỹ năng sống,266,5.0,196.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/20/43/97/62b81adf401a07bb4e7d4e41d6de1916.jpg
Nghệ Thuật PR Bản Thân (Tái Bản 2018),Austin Kleon,99000,64350,4465.0,Sách kỹ năng làm việc,228,4.7,222.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/66/bd/2f/564a3dd66ef6712d8344208e5bec7456.jpg
Lương Ngọc Quyến Và Cuộc Khởi Nghĩa Thái Nguyên 1917,Đào Trinh Nhất,38000,35000,94.0,Lịch Sử Việt Nam,2,4.0,141.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/eb/26/04/266a9261f4d4824c2ae0981cd5463873.jpg
Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),J. K. Rowling,1750000,1074000,10589.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1569,4.7,366.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/0b/6c/75/c3fa989449f2afaf2dccea7daa0e8311.jpg
Ý niệm hiện tượng học,Edmund Husserl,175000,129000,7.0,Triết Học,0,0.0,212.0,Nhà Xuất Bản Tri Thức,https://salt.tikicdn.com/ts/product/2a/3f/d9/91959120c4d94ae44b3abfd242fb329b.jpg
Phản biện như một chuyên gia - Lập luận sắc bén và tư duy hiệu quả,Lang Minh,130000,80000,378.0,Sách kỹ năng mềm,20,5.0,236.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/24/14/b1/431961f1c299851ed5fcd9b1e95d548c.jpg
Hạnh Phúc Mỗi Ngày,Ajahn Brahm,128000,96000,148.0,Sách tư duy - Kỹ năng sống,7,4.7,368.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/2e/f7/ea/02aed5c4d7c008b8cb5c218a3f8d70e5.png
Theo Dấu Hoàng Hậu Nam Phương Và Vua Bảo Đại,Nguyễn Thị Thanh Thúy,185000,133000,112.0,Lịch Sử Việt Nam,15,5.0,464.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/66/e2/d9/c77cb70fc84b939cc83ef2001c9fc3ee.jpg
"Làm Cha Mẹ Tỉnh Thức - Chuyển Hóa Bản Thân, Trao Quyền Cho Con Cái",Tiến sĩ Shefali Tsabary,139000,91740,7642.0,Cẩm nang làm cha mẹ,831,5.0,312.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/ea/ed/03/6a34a105f533236d149510990b306fdf.jpg
KIỂM SOÁT SỰ TẬP TRUNG GIỮA CƠN BÃO CÔNG NGHỆ,Johann Hari,215000,139750,312.0,Sách tư duy - Kỹ năng sống,22,5.0,358.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/50/31/8f/f2a35bec9e521d4cc0ff88e6f2f1bd70.jpg
Cuộc đời và số phận,Vasily Semyonovich Grossman,460000,299000,172.0,Tác phẩm kinh điển,21,4.8,826.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/7a/41/92/464cb0ae283f0413c04547a8524982e0.jpg
Y học dinh dưỡng - Những điều bác sĩ không nói với bạn,BS Ray D.Strand,189000,145000,3.0,Sách Y Học Khác,0,0.0,400.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/0d/5a/38/5a89ce042d317794666130d270b702bc.jpg
Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,139000,93092,11646.0,Sách tư duy - Kỹ năng sống,882,5.0,352.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ca/b9/76/3496cc7fd438e19e0a5732cba25e0aee.png
CCMR. Phải Trái Đúng Sai,Michael Sandel,155000,100000,3025.0,Sách tư duy - Kỹ năng sống,225,5.0,402.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/28/c4/12/78d947f38dffd219910eb7db19d2deb1.png
Nghệ Thuật Bán Hàng Bậc Cao - Bí Quyết Chốt Deal Mọi Thời Đại (Khổ Lớn)(Tái Bản),Zig Ziglar,198000,148500,1898.0,Sách Marketing - Bán hàng ,131,5.0,504.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/8b/5a/b2/a10108956949de77980af68b3d09f82b.png
Sách Người Giỏi Không Phải Là Người Làm Tất Cả (Tái Bản 2021),Ph.D,58000,43500,3681.0,Sách kỹ năng làm việc,213,5.0,116.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/18/f9/f1/55223fae6ac9545b1b1bc90e7d5cefd2.jpg
Lựa Chọn Đúng Quan Trọng Hơn Nỗ Lực - 6 Bước Để Ra Quyết Định Hoàn Hảo,Annie Duke,170000,110500,1484.0,Sách tư duy - Kỹ năng sống,120,4.8,312.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/41/4f/bb/789a46acfae291be89a77ec2f47cc069.jpg
Hậu Khủng Hoảng: Bảy Bí Quyết Bảo Toàn Của Cải Trong Thời Gian Tới,James Rickards,205000,123000,507.0,Lĩnh vực khác,56,4.8,406.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/2e/4a/e4/97e945ad09b0ca413bb191d85e32d2ec.png
Án Mạng Trên Sông Nile (Agatha Christie)(Tái Bản),Agatha Christie,135000,81000,1356.0,Truyện trinh thám,308,5.0,336.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/cf/0f/1c/7822575e91b0be21f11bea71dfad8d06.png
Con Đường Khởi Nghiệp,Eric Ries,170000,103000,221.0,Sách khởi nghiệp,24,4.5,420.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/37/ce/1e/2349e8b54fa62991b3133755125ac493.png
Tiền Không Mua Được Gì (What money can't buy?) - Michael Sandel Tác giả Phải Trái Đúng Sai,Michael Sandel,125000,85000,2090.0,Bài học kinh doanh,192,5.0,340.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/a8/94/a0/4561d00c3657a72db47437385bf10e82.png
Giáo trình chuẩn HSK 6 - Tập 1 Bài Tập (Kèm file MP3),Khương Lệ Bình,198000,150000,561.0,Sách Học Tiếng Hoa,75,4.7,180.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/77/70/ea/85bb4b95850aeead488a5a3e04923c2e.jpg
Dám Hạnh Phúc,Koga Fumitake,110000,77000,7203.0,Truyện dài,551,4.8,299.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/9b/17/a8/8f0bbffd7a59921d02b02a19ea71a2b5.jpg
Sự Im Lặng Của Bầy Cừu (Tái Bản),Thomas Harris,115000,80498,18261.0,Truyện dài,2737,4.8,347.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/9e/b7/53/96bf09a2cedcff268e89c929e19e3a4a.png
Khởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu Quả,Trần Thanh Phong,199000,125000,30150.0,Sách khởi nghiệp,2316,4.8,272.0,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/4c/01/02/053782f7f7d58a2023d5406663f5180a.png
Cảm Ơn Vì Đến Trễ,Thomas L. Friedman,235000,141000,1676.0,Sách kỹ năng làm việc,58,4.8,692.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/a2/ed/3b/52cbf9066d06bfcbad57f8a0190b9506.jpg
Bà Ngoại Tôi Gửi Lời Xin Lỗi,Fredrik Backman,190000,117000,1189.0,Tiểu Thuyết,80,4.8,514.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/e9/17/f3/87ac46125d725013f29d46fbb512d109.png
Chữa Lành Bằng Reiki,Karen Frazier,149000,109300,2.0,Sách kỹ năng mềm,0,0.0,332.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/8c/e5/4c/7e9069ca0cb0447539eccba910ae784d.jpg
Lề thói thị thành,Edith Wharton,205000,133250,33.0,Tác phẩm kinh điển,3,5.0,504.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/13/2d/f7/f8276c736c9de6606b4dbca2f997b6d5.jpg
Triệu Lá Thư Gửi Mẹ (Bìa Cứng dạng hộp in bốn màu),Mu Ye,199000,126000,55.0,Kiến Thức Bách Khoa,2,5.0,122.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/71/92/ee/f18beedc3bfb18e429d92e75b126c524.jpg
Tiếng Trung dành cho học sinh trung học,Chu Thuỵ Bình,198000,140000,26.0,Sách Học Tiếng Hoa,0,0.0,134.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/e9/74/40/385fb26575ce826f5bc9064176e0d7a3.jpg
Kiếm Tiền Cùng Chatgpt - Vào Nghề Viết & Sáng Tạo Nội Dung,Học Viện Văn Họa AIGC,345000,226000,73.0,Sách kỹ năng làm việc,4,5.0,300.0,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/d0/46/2f/dbf6e442f80bfeb31e1e5ba2eb8db8cb.jpg
A Time For Mercy - Tội Lỗi Và Khoan Dung - TRE,John Grisham,280000,182000,65.0,Tiểu Thuyết,8,4.8,688.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/00/5d/dc/22c84bd69c72eb2f605dd5b832682f32.jpg
"Bản đồ AI - Quyền lực, chính trị, và sự tiêu tốn tài nguyên của hành tinh",Kate Crawford,139000,91000,67.0,Kiến Thức Bách Khoa,2,4.5,276.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/54/70/a0/224e784b1fee17a2d885fd8b187986e4.png
Bắt Đầu Với Câu Hỏi Tại Sao - Nghệ Thuật Truyền Cảm Hứng Trong Kinh Doanh,Simon Sinek,129000,85140,6278.0,Sách kỹ năng làm việc,493,4.8,346.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/6b/da/c4/5d3f74b9b4c31b8a6e2b549be544427b.jpg
Trong Đầu Có Giấu Con Voi,Robin Hanson,215000,141000,174.0,Sách tư duy - Kỹ năng sống,10,4.6,523.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/8c/7c/2e/c81c23db83725ab925a5facf8fc0812f.jpg
Tổng Đài Kể Chuyện Lúc 0h,Emma Hạ My,168000,104160,148.0,Truyện kinh dị,16,4.8,332.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/1c/b4/8f/498137b73f6923879ed10af193124a33.jpg
Tuổi 20 - Những Năm Tháng Quyết Định Cuộc Đời Bạn,Meg Jay,109000,81800,1584.0,Sách tư duy - Kỹ năng sống,111,4.6,316.0,Nhà Xuất Bản Lao Động - Xã Hội,https://salt.tikicdn.com/ts/product/6f/8f/cd/13c416607141e85b605c6aa8526de273.jpg
Muôn Kiếp Nhân Sinh 3 (Bìa Mềm),Nguyên Phong,218000,109000,7236.0,Phật giáo,620,5.0,604.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/98/98/51/841bd79febae4d31d257ffee808f0cec.jpg
Ước Mơ Của Bạn Nhất Định Thành Hiện Thực,Inamori Kazuo,80000,54000,616.0,Sách tư duy - Kỹ năng sống,19,5.0,216.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/bc/5a/7e/6589129c403f6007279e56a228f8b2e8.jpg
Đọc vị bất kỳ ai - Để không bị lợi dụng (Tái bản),David J. Liebermen,89000,67000,1981.0,Sách kỹ năng làm việc,70,5.0,236.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/e8/ec/d8/90ae10a1e8327ef8697b44a2ba4877b1.png
Những Chiếc Cầu Ở Quận Madisson (Tái Bản Lần 3),Robert James Waller,89000,66000,272.0,Tiểu Thuyết,18,5.0,166.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/41/6d/88/00716ccd270d4a57368c8dd0b4ee9230.jpg
Vừa Nhắm Mắt Vừa Mở Cửa Số,Nguyễn Ngọc Thuần,75000,46000,2531.0,Văn học thiếu nhi,179,5.0,192.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/a4/90/5c/648ab29f6bca3d57a34e70753c79a4d1.png
FPT Bí Lục - Khám Phá Văn Hoá Doanh Nghiệp Tại FPT,Nhiều tác giả,199000,130345,1009.0,Bài học kinh doanh,49,4.8,480.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/bb/a2/23/058ea717c424b7a774ae075ec70ddb8e.jpg
Nuôi con không phải cuộc chiến (Tái bản),Mẹ Ong Bông,129000,87600,336.0,Cẩm nang làm cha mẹ,12,4.8,314.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/97/c0/0c/b101d465fb08b1fb1cd4c0a939f05a1e.png
EQ - Ứng Dụng Trí Tuệ Cảm Xúc Trong Công Việc,Mark Craemer,139000,90300,48.0,Sách tư duy - Kỹ năng sống,5,5.0,236.0,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,https://salt.tikicdn.com/ts/product/28/fa/7a/3cea35d4fb1605641745714660556d6e.jpg
Buông Xả Phiền Não - Tái Bản 2022,Thích Thánh Nghiêm,89000,65300,118.0,Phật giáo,6,5.0,178.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/e5/39/03/3cc69172b09e4ca003be8b9e006c9292.png
1000 câu hỏi rèn luyện IQ - CQ - Thử tài sáng tạo tập 1 (6-12 tuổi) (Sách bản quyền),Vương Văn,78000,51900,57.0,Kiến thức - Bách khoa,2,4.5,80.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/81/9e/bf/687c8fefb60d8d60654be4f9a3a466d3.png
1000 Câu Hỏi Rèn Luyện IQ - CQ - Đột Phá Tư Duy Tập 1 (6-12 Tuổi) (Sách Bản Quyền),Vương Văn,78000,51900,46.0,Kiến thức - Bách khoa,0,0.0,80.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/cb/55/2e/27ef78da0069809496f9da4f2d61e973.png
Kĩ năng đọc thông minh - Biến thông tin thành sức mạnh,Instant Research Institude,95000,58900,73.0,Sách tư duy - Kỹ năng sống,8,4.6,272.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/94/c7/5e/cb69ee4f4160aa03c0a213a1fb8c6b20.jpg
Kiến thức căn bản cần biết - Theo dòng lịch sử khoa học,Ivan Kiriow,339000,237300,64.0,Lĩnh vực khác,9,5.0,320.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/22/22/69/5d5f13f2ca37bd79954739178943b033.png
Tư duy logic quyết định hành vi,Dan Levy,149000,96800,88.0,Sách tư duy - Kỹ năng sống,3,5.0,320.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/4c/f2/70/464a4a93b98af5674c04e7371d1c3cd8.png
Sống Sót Nơi Công Sở Everyday English - Nói Đi Ngại Gì (Tái Bản 2022),Gina Kim,169000,109850,111.0,Sách Học Tiếng Anh,13,4.5,260.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/9f/e1/49/b001a1ac30329460f35c528248994143.png
Sách - combo 9 Quyển Từ Điển Bằng Hình Đầu Tiên Của Bé Từ 0-6 tuổi - Song Ngữ Anh- Việt (Các trang đều là Bìa Cứng) vàng,Song Nghi,252000,181440,18.0,Kiến thức - Bách khoa,0,0.0,144.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/1a/8a/14/2b35d4ecc41573ab75702efdc634a2ff.jpg
Tiểu Sử Các Quốc Gia Qua Góc Nhìn Lầy Lội,Sai Lei,215000,150246,753.0,Kiến Thức Bách Khoa,60,5.0,280.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/70/61/c2/a63bfb968ddfbfdb11db2eff0307f3d2.png
Chiến Lược Kết Nối,Nicolaj Siggelkow,199000,140000,272.0,Sách kỹ năng làm việc,25,4.8,288.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/42/d4/9d/8d6f6b007f34e67557fba5eaef4dae12.png
Thần Dược Của George (Tái Bản 2021),Roald Dahl,30000,21600,403.0,Văn học thiếu nhi,50,5.0,104.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/68/84/56/d93f48251e609134792ef23ea6001965.png
Để Tâm Không Bận,Ryunosuke Koike,51400,42700,599.0,Sách kỹ năng mềm,100,5.0,156.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/1a/20/71/2e418df630a141f24a42336352919688.png
How Psychology Works - Hiểu Hết Về Tâm Lý Học,Jo Hemmings,300000,205937,16619.0,Sách tư duy - Kỹ năng sống,3427,4.8,247.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/73/c8/30/17d4f810b426d93fb39b7156e23c9a07.jpeg
1493: Diện Mạo Tân Thế Giới Của Columbus,Charles C. Mann,320000,256000,19.0,Lịch Sử Thế Giới,4,5.0,810.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/6a/f3/aa/45c88ca19eb8b87dd4fde30f861b1d8e.jpg
Những Cuốn Sách Thay Đổi Lịch Sử,Nhiều tác giả,390000,362700,223.0,Lịch Sử Thế Giới,48,5.0,256.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/6e/55/e6/ffdce29733376ce9498f1ecc35d8e045.jpg
"Yêu Mình Trước Đã, Yêu Đời Để Sau",Vex King,109000,73030,7134.0,Sách tư duy - Kỹ năng sống,697,4.8,343.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/26/fa/39/f303e19e56d87b7c330e16d901ecadbf.jpg
Bản Chất Của Người,Han Kang,129000,90300,1482.0,Sách tư duy - Kỹ năng sống,121,4.7,350.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/34/1d/23/02fa952e90202cbd39c9582bad73f4ee.jpg
Đúng Việc (Tái Bản),Giản Tư Trung,125000,106250,532.0,Sách kỹ năng mềm,34,4.8,328.0,Nhà Xuất Bản Tri Thức,https://salt.tikicdn.com/ts/product/bc/db/07/8806b2068b0cd25d9e5d660bda20be20.jpg
Lĩnh Nam Chích Quái,Trần Thế Pháp,350000,315000,4.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,0,0.0,256.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/d3/4b/00/791e8176673b16645d6e560d3ff18f9a.jpg
Làng làng phố phố Hà Nội,Nguyễn Ngọc Tiến,180000,117000,30.0,Lịch Sử Việt Nam,2,5.0,436.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/2b/57/db/e6ead0da66528f694c87ded7c3ad0c56.jpg
Liễu Phàm Tứ Huấn,Viên Liễu Phàm,79000,56880,183.0,Sách tư duy - Kỹ năng sống,12,5.0,160.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/f6/4e/1c/c4433cf67113d20e051236eed464aeac.jpg
Truyện Ngắn Về Ấn Độ,Hồ Anh Thái,90000,78300,7.0,Kiến Thức Bách Khoa,0,0.0,260.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/7e/3e/7f/ec6bc5dd424c047ba7fac5be1a85ea86.jpg
Combo sách - Biến Mọi Thứ Thành Tiền - Quyển 1+2 - Nguyễn Anh Dũng - SBOOKS, Nguyễn Anh Dũng,336000,150000,1524.0,Sách tư duy - Kỹ năng sống,88,4.5,548.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/a3/cf/51/c7ca9a4830f943ec086708b8af54e0c6.jpg
Trẻ Thông Minh Học Tập Như Thế Nào,Chu Nhất Phàm,99000,68300,13.0,Cẩm nang làm cha mẹ,2,5.0,224.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/dc/a6/46/ff1a987916fded44afbd941151248d3a.jpg
Hầu như vô hại,Douglas Adams,145000,101500,45.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,5,5.0,316.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/56/a2/27/c5407618471bdf1f6727e7b9b01fee66.png
Sống Sót Nơi Công Sở English Conversation- Tự Tin Giao Tiếp Với 25 Động Từ Và 75 Cấu Trúc Cơ Bản ( Tái bản),Oh Soktae,199000,136000,73.0,Sách Học Tiếng Anh,9,4.5,388.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/4b/55/0e/41afa54a56ee0aec1753f27500c6e29c.JPG
Hong Tay Khói Lạnh (Tản Văn Nguyễn Ngọc Tư),Nguyễn Ngọc Tư,90000,58000,2595.0,Truyện ngắn - Tản văn - Tạp Văn,348,5.0,176.0,NXB Trẻ,https://salt.tikicdn.com/media/catalog/producttmp/2a/82/ed/6841c1fd1f6c42853da9214e0ac588bd.jpg
Khúc Hát Của Cây,David George Haskell,175000,131000,413.0,Lĩnh vực khác,48,4.8,332.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/43/51/3a/24744e2c83637a0035b215d108ca7537.jpg
Về Nhà,W. Bruce Cameron,155000,120900,1.0,Truyện ngắn - Tản văn - Tạp Văn,0,0.0,464.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/ee/b6/61/6817bb58f10e3c10cb6effe022e7c01f.jpg
Không Đến Một (Tái Bản - Bìa Cam),Blake Masters,110000,69000,2794.0,Sách khởi nghiệp,315,5.0,276.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/d6/c9/bb/9fc50cabee40573f7c34a1a15f9cc64a.png
Perfect English Grammar - Cẩm Nang Tự Học Toàn Diện Ngữ Pháp Tiếng Anh - Basic,Thiên Hương,139000,90000,196.0,Sách Học Tiếng Anh,32,5.0,200.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,https://salt.tikicdn.com/ts/product/39/25/d5/a2ea99531ce7fb3925034a2860ec8cbc.jpg
IELTS Writing For Beginner - Academic Model,Tôn Vũ,168000,129300,22.0,Sách Học Tiếng Anh,4,5.0,384.0,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,https://salt.tikicdn.com/ts/product/e5/a6/0f/b5fef87eebb5d0d83ad8e99dba85f55d.png
Sinh Vật Thần Thoại Khắp Thế Gian,Epic,79000,64700,227.0,Truyện kể cho bé,67,5.0,200.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/fd/e7/24/61e56f5d2ec9daf36f44cba09a704fcc.jpg
Trở Về Với Sói,Lý Vi Y,175000,148700,17.0,Truyện dài,5,5.0,536.0,Nhà Xuất Bản Bách Khoa Hà Nội,https://salt.tikicdn.com/ts/product/da/22/ce/7ea8c6f3bd4166c7344e10523d14c676.jpg
Lão Hà Tiện - Văn Học Trong Nhà Trường,Molière,40000,28000,258.0,Văn học thiếu nhi,36,5.0,180.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/ef/9c/8c/7a3f7742b48de78bbc0f776026a1fec8.png
Cảm Ơn Người Lớn (Bìa Mềm),Nguyễn Nhật Ánh,110000,73000,32276.0,Truyện dài,1053,4.8,264.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/60/c6/ea/1f936b6a4a2b57f0a1fee9f36f345d97.png
Harvard Business Review - ON COMMUNICATION - Truyền Thông Giao Tiếp,Harvard Business Review,199000,153900,1234.0,Sách kỹ năng làm việc,36,4.5,160.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/69/28/c2/38febabe5ea7adb4f94091847521e7e4.jpg
How To Master The Ielts,Chris John Tyreman,150000,97500,132.0,Sách Học Tiếng Anh,14,4.0,268.0,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/0c/80/26/47b592700b837224343334136bb2a1b9.jpg
Bộ Đôi Sách Song Ngữ Lời Thì Thầm Trong Tổ Ấm - Lời Thì Thầm Với Cha,HỒ VĂN HÙNG,268000,268000,17.0,Sách Học Tiếng Anh,0,0.0,535.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/16/67/2d/7d56c10292990686310a60874d65626f.jpg
EQ đỉnh cao,TS. Travis Bradberry,288000,201600,63.0,Sách tư duy - Kỹ năng sống,1,5.0,484.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/5e/83/99/016d4067ebca72643bbdcd63775b25b2.jpg
Triết lý của Inamori Kazuo Chúng ta sống vì điều gì?,Inamori Kazuo,105000,66000,81.0,Sách tư duy - Kỹ năng sống,3,5.0,180.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f9/04/96/08ac72b7caaf08538701a4f3d1d54283.jpg
Agatha Christie. Bi kịch ba hồi,Agatha Christie,125000,75000,416.0,Truyện trinh thám,38,5.0,304.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/39/4e/60/c111b3928db197ce605bd7c8c5455eae.png
Sách - Sự Sụp Đổ Của Nhà Usher - Tuyển Tập Truyện Ngắn Kinh Dị - Edgar Allan Poe - Phuc Minh Books,Edgar Allan Poe,178500,178500,125.0,Truyện kinh dị,13,5.0,549.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/4a/a8/d7/8825843c75705a0ed6a880e0da08dc68.jpg
Quản trị Inamori: Mỗi nhân viên đều đóng vai trò chính,Inamori Kazuo,110000,71000,220.0,"Sách quản trị, lãnh đạo",7,5.0,208.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/09/71/ae/154b3dc81e406ff7aae2705d6ad10965.jpg
Trái Tim Của Bụt,Thích Nhất Hạnh,269000,201750,608.0,Phật giáo,60,5.0,596.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/80/e6/94/6c45d381b52431bb9b1941dacad88613.jpg
Sách Tiếng Anh Giao Tiếp Bệnh Viện dành cho người mới bắt đầu - Tác giả BS. Đỗ Trung Kiên (Phiên bản mới nhất 2024), Đỗ Trung Kiên,249000,199000,904.0,Sách Học Tiếng Anh,37,5.0,296.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/30/00/c3/d0eee8871ec3cfc1191c9f194d68483d.jpg
Hai Vạn Dặm Dưới Biển,Jules Verne,99000,64382,657.0,Tác phẩm kinh điển,94,4.8,452.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/6b/4d/ed/0ad121ffa3e8169fc39d5e2b4a0394f7.jpg
Thả Trôi Phiền muộn,Suối Thông,110000,71500,777.0,Sách kỹ năng mềm,26,5.0,256.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/d7/e0/66/bb86359511bfeb3f9407724720e05f1f.jpg
Những Người Hàng Xóm,Nguyễn Nhật Ánh,110000,69000,4870.0,Truyện dài,508,5.0,232.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/16/49/5d/64e66039c21daf599c32d751af6fcc76.png
