title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
Nam Phương - Hoàng Hậu Cuối Cùng (Tái Bản 2020),Lý Nhân Phan Thứ Lang,100000,65000,1024.0,Lịch Sử Việt Nam,231,4.8,200.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/76/33/1b/8685b46bfe9b79f353cd951e9e4c947c.jpg
Combo 3 Cuốn Kết Tinh Một Đời,Phan Văn Trường,510000,317000,1315.0,Sách tư duy - Kỹ năng sống,147,5.0,1244.0,NXB Trẻ,https://salt.tikicdn.com/media/catalog/producttmp/fa/44/ca/9c9c5252687b9d5938253fe2293710fa.jpg
Điều Quan Trọng Nhất – The Most Important Thing,Howard Marks,299000,299000,5140.0,Sách tài chính,643,4.7,378.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/b3/98/f3/97711a7a7a0efc3e6d3ecfae4a43655f.jpg
7 Thói Quen Hiệu Quả (Tái Bản),Stephen R. Covey,250000,205000,9.0,Sách tư duy - Kỹ năng sống,0,0.0,480.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/99/2f/f7/239abc4b1aba09673c8ecbf384dbffb1.png
Plato Và Con Thú Mỏ Vịt Bước Vào Quán Bar (Tái Bản 2018 ),Thomas Cathcart & Daniel Klein,100000,66168,4705.0,Tiểu sử - Hồi ký,545,4.8,272.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/17/1a/5a/6d833e524c46df81a2d7f6b3ab099f03.png
Thân Nhiệt Quyết Định Sinh Lão Bệnh Tử,Nguyễn Văn Nam,96000,62000,1926.0,Sách Y Học Khác,12,5.0,160.0,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/81/33/e4/3329fb0813f1291690ec50f29621fd40.jpg
Nhà Giả Kim,Paulo Coelho,79000,71100,8.0,Tiểu Thuyết,1,5.0,228.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/83/30/87/737846efdb9f28f0f51352cacf9225c5.jpg
Hiệu sách trên đảo,Gabrielle Zevin,145000,117000,13.0,Truyện dài,4,5.0,264.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/71/a3/32/410250ccda4b7216459660767f32e9b2.jpg
Thế Giới Qua Đôi Mắt Cá Của Cô Ấy,Nguyễn Mai Chi,119000,79730,11.0,Sách tư duy - Kỹ năng sống,1,5.0,194.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/8d/d9/a6/c9c70ca65971bdbf0a274598b25e3f93.JPG
Phía Đông Vườn Địa Đàng,John Steinbeck,380000,249000,15.0,Lịch Sử Thế Giới,3,5.0,742.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/f9/c8/32/2ed2f906d2a631a73bd946492a8dbf93.jpg
Lịch sử Việt Nam qua chính sử Trung Hoa (Tái bản có bổ sung 2025),Cao Tự Thanh,250000,168000,17.0,Lịch Sử Việt Nam,0,0.0,454.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/34/43/3c/fd09969b574ff974652322ca5434a320.jpg
Sách - Sơn Ca Vẫn Hót - Kristin Hannah,Kristin Hannah,222000,222000,1.0,Tiểu Thuyết,0,0.0,480.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/58/ce/38/50763e12f0744b598c5f91d152fc939b.jpg
